match_id,team1,team2,winner,team1_winrate,team2_winrate,winrate_diff,team1_recent_form,team2_recent_form,form_diff,team1_avg_rnd_diff,team2_avg_rnd_diff,rnd_diff_diff,avg_map_rnd_diff,maps_won_team1,maps_won_team2,total_rnd_diff,total_score
590638,Gen.G,Paper Rex,0,0.644,0.702,-0.058,0.7,0.6,0.1,2.4,5.2,-2.8,-3.5,1,3,-14,4
590637,FunPlus Phoenix,Paper Rex,0,0.516,0.699,-0.183,0.6,0.6,0.0,0.4,3.8,-3.4,-7.5,0,2,-15,2
590636,G2 Esports,Paper Rex,0,0.621,0.696,-0.075,0.7,0.6,0.1,4.8,0.2,4.6,-3.7,1,2,-11,3
590635,Nova Esports,Bilibili Gaming,1,0.446,0.505,-0.059,0.4,0.2,0.2,-5.0,-8.4,3.4,2.0,1,0,2,1
590634,Paper Rex,Bilibili Gaming,1,0.694,0.51,0.184,0.6,0.2,0.4,0.8,-9.6,10.4,4.0,1,0,4,1
590633,Paper Rex,Gen.G,0,0.7,0.641,0.059,0.7,0.7,0.0,-0.8,2.0,-2.8,-2.0,0,1,-2,1
590632,G2 Esports,Gen.G,0,0.627,0.637,-0.01,0.7,0.6,0.1,9.8,2.4,7.4,-6.0,0,1,-6,1
590631,G2 Esports,FunPlus Phoenix,0,0.634,0.511,0.123,0.7,0.6,0.1,11.0,1.2,9.8,-4.0,0,1,-4,1
590630,Nova Esports,FunPlus Phoenix,0,0.453,0.505,-0.052,0.4,0.5,-0.1,-0.6,2.6,-3.2,-7.0,0,1,-7,1
590629,Nova Esports,G2 Esports,0,0.46,0.63,-0.17,0.4,0.7,-0.3,-1.2,10.8,-12.0,-6.0,0,1,-6,1
590628,Bilibili Gaming,G2 Esports,0,0.515,0.626,-0.111,0.3,0.7,-0.4,-8.0,9.2,-17.2,-10.0,0,1,-10,1
590627,Bilibili Gaming,Gen.G,0,0.52,0.634,-0.114,0.4,0.6,-0.2,-6.0,-0.4,-5.6,-8.0,0,1,-8,1
590626,FunPlus Phoenix,Gen.G,0,0.511,0.63,-0.119,0.5,0.6,-0.1,5.6,-3.0,8.6,-7.0,0,1,-7,1
590625,FunPlus Phoenix,Paper Rex,1,0.506,0.706,-0.201,0.4,0.8,-0.4,3.6,0.0,3.6,2.0,1,0,2,1
590624,Nova Esports,Paper Rex,0,0.468,0.704,-0.236,0.4,0.8,-0.4,3.2,0.0,3.2,-8.0,0,1,-8,1
595300,ENVY,FURIA,1,0.75,0.339,0.411,0.7,0.1,0.6,1.6,-6.6,8.2,3.3,2,1,10,3
595299,FURIA,QoR,1,0.328,0.5,-0.172,0.0,0.5,-0.5,-13.0,2.0,-15.0,6.5,2,0,13,2
595298,ENVY,We Almost Did It,1,0.743,0.0,0.743,0.7,0.0,0.7,-2.4,0.0,-2.4,3.7,2,1,11,3
593555,Eternal Fire,GIANTX,0,0.6,0.444,0.156,0.6,0.6,0.0,-1.0,5.6,-6.6,-0.7,1,2,-2,3
593556,Team Vitality,Team Liquid Academy,1,0.508,0.75,-0.242,0.6,0.75,-0.15,8.2,3.0,5.2,5.0,2,0,10,2
593554,Team Liquid Academy,GIANTX,0,1.0,0.432,0.568,1.0,0.5,0.5,7.0,3.2,3.8,-3.0,1,2,-9,3
593553,Eternal Fire,Team Vitality,1,0.5,0.517,-0.017,0.5,0.6,-0.1,-1.2,10.2,-11.4,0.0,2,1,0,3
593551,Team Liquid Academy,FUT Esports,1,1.0,0.577,0.423,1.0,0.6,0.4,8.0,4.8,3.2,1.7,2,1,5,3
